Year, Month, Day, Hour, Minute, weekday, User, a0, b00, b01, b10, b11, hum, lum, temp_e presence, temp_i, lum_i
2016,10,19,19,40,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,40,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,41,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,41,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,41,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.70703125
2016,10,19,19,41,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,41,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,41,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,42,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,42,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,42,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,42,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,42,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,42,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,43,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,43,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,43,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,43,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,43,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,43,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,44,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,44,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,44,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,44,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,44,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,44,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,45,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.70703125
2016,10,19,19,45,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,45,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,45,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,45,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,45,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,46,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,46,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,46,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,46,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,46,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,47,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,47,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,47,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,47,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,47,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,47,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,48,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,48,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,48,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,48,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,48,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,48,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,49,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,49,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,49,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,49,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,49,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,49,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,50,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,50,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,50,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,50,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,50,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,50,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,51,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,51,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,51,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,51,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,51,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,51,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,52,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,52,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,52,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,52,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,52,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,52,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,53,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,53,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,53,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,53,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,53,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,53,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,54,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,54,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,54,2,False,0,0,0,0,0,0,0,0,False,25.87890625,24.609375
2016,10,19,19,54,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,54,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,54,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,55,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,55,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,55,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
2016,10,19,19,55,2,False,0,0,0,0,0,0,0,0,False,26.3671875,24.609375
